community,area,folder,filename,image_cre,image_re,image_caption
bowness,nw-calgary,amenities,bowness-wm-1.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-1.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-1.webp,"Beautiful scenery of sunset, river, tall trees, and sky"
bowness,nw-calgary,amenities,bowness-wm-2.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-2.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-2.webp,Grassy green park with pathway as perimeter surrounded by tall trees and people on it
bowness,nw-calgary,amenities,bowness-wm-25.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-25.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-25.webp,"Grassy green with tall trees and houses swings seesaw, white and blue sky with some clouds"
bowness,nw-calgary,amenities,bowness-wm-26.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-26.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-26.webp,"Grassy green park with swings, see-saw, surrounded by houses and tall trees"
bowness,nw-calgary,amenities,bowness-wm-27.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-27.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-27.webp,"Grassy green park with pathway and tall trees, blue sky with cirrus clouds, house with brown wooden gate."
bowness,nw-calgary,amenities,bowness-wm-28.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-28.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-28.webp,MacKintosh park with short grassy green landscape and tall trees
bowness,nw-calgary,amenities,bowness-wm-3.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-3.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-3.webp,"Calm lake surrounded by trees and grass, boats upside down stacked up the on one another."
bowness,nw-calgary,amenities,bowness-wm-31.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-31.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-31.webp,Baseball field with red dirt and surrounded by green grass cut short and landscaped.
bowness,nw-calgary,amenities,bowness-wm-33.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-33.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-33.webp,"Green grass landscape, small plants in small colorful pots."
bowness,nw-calgary,amenities,bowness-wm-35.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/bowness/amenities/bowness-wm-35.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/bowness/amenities/bowness-wm-35.webp,Playground with slides and other recreational equipment on sand dirt.
